Open,High,Low,Close,Adj Close,Volume
72.819626,72.819626,72.819626,72.819626,53.472778,0
72.819626,72.819626,72.819626,72.819626,53.472778,0
72.819626,72.819626,72.819626,72.819626,53.472778,0
72.819626,72.819626,72.819626,72.819626,53.472778,0
72.819626,72.819626,72.819626,72.819626,53.472778,0
72.436363,72.819626,72.340553,72.819626,53.472778,40703
72.819626,73.566986,72.053108,72.398041,53.163197,100975
72.398041,72.819626,72.101013,72.158501,52.987297,29744
72.158501,72.244736,71.190765,71.61235,52.58625,104889
71.61235,71.823151,71.094955,71.353653,52.396286,62620
71.353653,71.47821,70.711693,71.382401,52.417389,131503
71.382401,71.286583,69.75354,70.19429,51.544949,63142
70.19429,71.47821,70.520058,71.324905,52.375168,67577
71.324905,72.484276,70.999138,71.928543,52.818428,80623
71.928543,73.289124,71.861473,72.800461,53.45871,54532
72.800461,77.418762,71.890221,72.378876,53.149128,28961
72.378876,72.627998,71.698586,72.215988,53.029514,106715
72.215988,72.388458,71.861473,71.890221,52.790302,61837
71.890221,72.244736,70.520058,72.072266,52.923965,73318
72.072266,72.436363,71.47821,72.196831,53.015442,81145
72.196831,73.011261,72.053108,72.829208,53.47982,450084
72.829208,72.819626,70.807503,70.912903,52.072636,36789
70.912903,70.90332,68.028862,68.757057,50.489563,99931
68.757057,69.945168,68.43129,69.03492,50.693596,84015
69.03492,69.03492,69.03492,69.03492,50.693596,0
69.03492,69.945168,68.987015,69.351112,50.925785,51661
69.351112,70.136803,68.795387,69.188225,50.806168,85320
69.188225,70.615875,69.561905,70.472153,51.748985,37050
70.472153,72.484276,69.983498,72.474693,53.21949,375201
72.474693,76.077347,72.053108,75.770737,55.639832,462086
75.770737,77.61039,74.113136,76.173164,55.935352,257526
76.173164,77.0355,73.777779,74.582626,54.767368,378592
74.582626,76.077347,73.202888,75.713249,55.597618,76710
76.652237,82.171204,76.268974,81.749611,60.030231,370504
81.749611,85.27562,81.443001,84.700722,62.197289,323800
76.652237,84.509094,76.652237,82.247856,60.396095,125240
82.247856,84.116249,80.676483,81.902916,60.142807,150810
81.902916,84.700722,82.401154,82.420319,60.522743,162552
82.420319,82.784416,80.494431,82.247856,60.396095,51400
82.247856,81.433426,79.526695,80.05368,58.784885,50879
80.05368,81.423843,77.61039,78.606873,57.722466,54010
78.606873,79.335068,77.370857,78.855988,57.905376,215779
78.855988,78.855988,78.855988,78.855988,57.905376,0
78.855988,81.443001,79.14344,80.973511,59.460316,80884
80.973511,83.167679,80.293221,82.793999,60.797131,229347
82.793999,83.359306,78.693108,79.028458,58.032028,167509
79.028458,82.401154,80.302803,81.586723,59.910603,232217
81.586723,81.720871,80.676483,81.366348,59.748791,121849
81.366348,82.017899,80.484848,80.983093,59.467361,441996
80.983093,81.443001,80.925606,81.213043,59.636219,98366
81.213043,82.295761,80.868111,81.826263,60.086506,110890
81.826263,81.826263,81.826263,81.826263,60.086506,0
81.826263,82.017899,81.347191,81.395096,59.769886,32353
81.395096,81.922081,80.484848,81.059746,59.523651,45399
81.059746,81.059746,80.12075,80.877693,59.389965,104367
80.877693,79.81414,78.587708,78.951805,57.97575,78536
78.951805,80.484848,78.443985,79.842888,58.630081,76188
79.842888,81.059746,79.191345,80.801041,59.333683,81406
80.801041,81.730453,79.890793,80.168663,58.869316,85320
80.168663,80.245316,79.766235,79.967445,58.721542,113760
79.967445,80.369873,79.526695,80.360291,59.01001,224129
80.360291,79.909958,79.153023,79.593765,58.447151,113238
79.593765,79.593765,79.593765,79.593765,58.447151,0
79.593765,80.887276,79.95787,80.868111,59.382915,132546
80.868111,81.059746,80.484848,80.887276,59.396999,127067
80.887276,82.401154,80.475273,81.720871,60.009113,213953
81.720871,82.113708,80.963928,81.864594,60.114643,137765
81.864594,89.683121,82.401154,84.039597,61.711811,206647
